year,stat_type,rank,player,team,name
2022,receiving,1,1,UNK,Justin JeffersonMIN
2022,receiving,2,2,UNK,Tyreek HillMIA
2022,receiving,3,3,UNK,Davante AdamsLV
2022,receiving,4,4,UNK,A.J. BrownPHI
2022,receiving,5,5,UNK,Stefon DiggsBUF
2022,receiving,6,6,UNK,CeeDee LambDAL
2022,receiving,7,7,UNK,Jaylen WaddleMIA
2022,receiving,8,8,UNK,Travis KelceKC
2022,receiving,9,9,UNK,DeVonta SmithPHI
2022,receiving,10,10,UNK,Terry McLaurinWSH
2022,receiving,11,11,UNK,Amon-Ra St. BrownDET
2022,receiving,12,12,UNK,Amari CooperCLE
2022,receiving,13,13,UNK,Mike EvansTB
2022,receiving,14,14,UNK,Christian KirkJAX
2022,receiving,15,15,UNK,Garrett WilsonNYJ
2022,receiving,16,16,UNK,DK MetcalfSEA
2022,receiving,17,17,UNK,Ja'Marr ChaseCIN
2022,receiving,18,18,UNK,Chris OlaveNO
2022,receiving,19,19,UNK,Tyler LockettSEA
2022,receiving,20,20,UNK,Tee HigginsCIN
2022,receiving,21,21,UNK,Chris GodwinTB
2022,receiving,22,22,UNK,Brandon AiyukSF
2022,receiving,23,23,UNK,Jerry JeudyDEN
2022,receiving,24,24,UNK,JuJu Smith-SchusterKC
2022,receiving,25,25,UNK,Michael Pittman Jr.IND
2022,receiving,26,26,UNK,T.J. HockensonMIN/DET
2022,receiving,27,27,UNK,Mike WilliamsLAC
2022,receiving,28,28,UNK,DJ MooreCAR
2022,receiving,29,29,UNK,Diontae JohnsonPIT
2022,receiving,30,30,UNK,Drake LondonATL
2022,receiving,31,31,UNK,Mark AndrewsBAL
2022,receiving,32,32,UNK,Donovan Peoples-JonesCLE
2022,receiving,33,33,UNK,Gabe DavisBUF
2022,receiving,34,34,UNK,Courtland SuttonDEN
2022,receiving,35,35,UNK,Zay JonesJAX
2022,receiving,36,36,UNK,Cooper KuppLAR
2022,receiving,37,37,UNK,Jakobi MeyersNE
2022,receiving,38,38,UNK,George PickensPIT
2022,receiving,39,39,UNK,Allen LazardGB
2022,receiving,40,40,UNK,Joshua PalmerLAC
2022,receiving,41,41,UNK,Evan EngramJAX
2022,receiving,42,42,UNK,George KittleSF
2022,receiving,43,43,UNK,Tyler BoydCIN
2022,receiving,44,44,UNK,Keenan AllenLAC
2022,receiving,45,45,UNK,Christian McCaffreySF/CAR
2022,receiving,46,46,UNK,Pat FreiermuthPIT
2022,receiving,47,47,UNK,Darius SlaytonNYG
2022,receiving,48,48,UNK,Austin EkelerLAC
2022,receiving,49,49,UNK,DeAndre HopkinsARI
2022,receiving,50,50,UNK,Adam ThielenMIN
