year,stat_type,rank,player,team,name
2021,rushing,1,1,UNK,Jonathan TaylorIND
2021,rushing,2,2,UNK,Nick ChubbCLE
2021,rushing,3,3,UNK,Joe MixonCIN
2021,rushing,4,4,UNK,Najee HarrisPIT
2021,rushing,5,5,UNK,Dalvin CookMIN
2021,rushing,6,6,UNK,Antonio GibsonWSH
2021,rushing,7,7,UNK,Ezekiel ElliottDAL
2021,rushing,8,8,UNK,Elijah MitchellSF
2021,rushing,9,9,UNK,Derrick HenryTEN
2021,rushing,10,10,UNK,Damien HarrisNE
2021,rushing,11,11,UNK,Melvin Gordon IIIDEN
2021,rushing,12,12,UNK,Austin EkelerLAC
2021,rushing,13,13,UNK,Javonte WilliamsDEN
2021,rushing,14,14,UNK,Alvin KamaraNO
2021,rushing,15,15,UNK,Josh JacobsLV
2021,rushing,16,16,UNK,Devin SingletaryBUF
2021,rushing,17,17,UNK,David MontgomeryCHI
2021,rushing,18,18,UNK,Sony MichelLAR
2021,rushing,19,19,UNK,AJ DillonGB
2021,rushing,20,20,UNK,Aaron Jones Sr.GB
2021,rushing,21,21,UNK,Jalen HurtsPHI
2021,rushing,22,22,UNK,Lamar JacksonBAL
2021,rushing,23,23,UNK,Josh AllenBUF
2021,rushing,24,24,UNK,Miles SandersPHI
2021,rushing,25,25,UNK,James ConnerARI
2021,rushing,26,26,UNK,Rashaad PennySEA
2021,rushing,27,27,UNK,Tony PollardDAL
2021,rushing,28,28,UNK,Michael CarterNYJ
2021,rushing,29,29,UNK,Cordarrelle PattersonATL
2021,rushing,30,30,UNK,D'Andre SwiftDET
2021,rushing,31,31,UNK,Myles GaskinMIA
2021,rushing,32,31,UNK,Chuba HubbardCAR
2021,rushing,33,33,UNK,Rhamondre StevensonNE
2021,rushing,34,34,UNK,Jamaal WilliamsDET
2021,rushing,35,35,UNK,Devontae BookerNYG
2021,rushing,36,35,UNK,Saquon BarkleyNYG
2021,rushing,37,37,UNK,Chase EdmondsARI
2021,rushing,38,38,UNK,Devonta FreemanBAL
2021,rushing,39,39,UNK,D'Onta ForemanTEN
2021,rushing,40,40,UNK,Darrel WilliamsKC
2021,rushing,41,41,UNK,Mark Ingram IIHOU/NO
2021,rushing,42,42,UNK,D'Ernest JohnsonCLE
2021,rushing,43,43,UNK,Clyde Edwards-HelaireKC
2021,rushing,44,44,UNK,Mike DavisATL
2021,rushing,45,45,UNK,Latavius MurrayBAL
2021,rushing,46,46,UNK,Alexander MattisonMIN
2021,rushing,47,47,UNK,Khalil HerbertCHI
2021,rushing,48,48,UNK,Ronald JonesTB
2021,rushing,49,49,UNK,Rex BurkheadHOU
2021,rushing,50,50,UNK,Kyler MurrayARI
