year,stat_type,rank,player,team,name
2024,receiving,1,1,UNK,Ja'Marr ChaseCIN
2024,receiving,2,2,UNK,Justin JeffersonMIN
2024,receiving,3,3,UNK,Brian Thomas Jr.JAX
2024,receiving,4,4,UNK,Drake LondonATL
2024,receiving,5,5,UNK,Amon-Ra St. BrownDET
2024,receiving,6,6,UNK,Jerry JeudyCLE
2024,receiving,7,7,UNK,Malik NabersNYG
2024,receiving,8,8,UNK,CeeDee LambDAL
2024,receiving,9,8,UNK,Brock BowersLV
2024,receiving,10,10,UNK,Ladd McConkeyLAC
2024,receiving,11,11,UNK,Trey McBrideARI
2024,receiving,12,12,UNK,Jaxon Smith-NjigbaSEA
2024,receiving,13,13,UNK,George KittleSF
2024,receiving,14,14,UNK,Garrett WilsonNYJ
2024,receiving,15,15,UNK,Terry McLaurinWSH
2024,receiving,16,16,UNK,Courtland SuttonDEN
2024,receiving,17,17,UNK,A.J. BrownPHI
2024,receiving,18,18,UNK,Davante AdamsLV/NYJ
2024,receiving,19,19,UNK,Zay FlowersBAL
2024,receiving,20,20,UNK,Jakobi MeyersLV
2024,receiving,21,21,UNK,Calvin RidleyTEN
2024,receiving,22,22,UNK,Nico CollinsHOU
2024,receiving,23,23,UNK,Mike EvansTB
2024,receiving,24,24,UNK,Jameson WilliamsDET
2024,receiving,25,25,UNK,Darnell MooneyATL
2024,receiving,26,25,UNK,DK MetcalfSEA
2024,receiving,27,27,UNK,Puka NacuaLAR
2024,receiving,28,28,UNK,Jauan JenningsSF
2024,receiving,29,29,UNK,DJ MooreCHI
2024,receiving,30,30,UNK,Tyreek HillMIA
2024,receiving,31,31,UNK,Tee HigginsCIN
2024,receiving,32,32,UNK,George PickensPIT
2024,receiving,33,33,UNK,Marvin Harrison Jr.ARI
2024,receiving,34,34,UNK,Jonnu SmithMIA
2024,receiving,35,35,UNK,Jordan AddisonMIN
2024,receiving,36,36,UNK,Jayden ReedGB
2024,receiving,37,37,UNK,DeVonta SmithPHI
2024,receiving,38,38,UNK,Alec PierceIND
2024,receiving,39,39,UNK,Travis KelceKC
2024,receiving,40,40,UNK,Khalil ShakirBUF
2024,receiving,41,41,UNK,Michael Pittman Jr.IND
2024,receiving,42,42,UNK,Josh DownsIND
2024,receiving,43,43,UNK,Rashod BatemanBAL
2024,receiving,44,44,UNK,Keenan AllenCHI
2024,receiving,45,44,UNK,Jaylen WaddleMIA
2024,receiving,46,46,UNK,Rome OdunzeCHI
2024,receiving,47,47,UNK,Sam LaPortaDET
2024,receiving,48,48,UNK,Quentin JohnstonLAC
2024,receiving,49,49,UNK,Cooper KuppLAR
2024,receiving,50,50,UNK,Tucker KraftGB
